ebd,duree,resultat,categorie
EBD 1,0:15:00,DEC,M155
EBD 1,0:10:00,KO/TKO,M170
EBD 1,0:02:14,KO/TKO,M145
EBD 1,0:15:00,DEC,M155
EBD 1,0:15:00,DEC,M265
EBD 1,0:07:34,SUB,M134
EBD 1,0:15:00,DEC,M134
EBD 1,0:15:00,DEC,M185
EBD 1,0:07:07,KO/TKO,M185
EBD 1,0:07:37,SUB,M145
EBD 1,0:01:22,SUB,M170
EBD 1,0:08:19,KO/TKO,M134
EBD 1,0:15:00,DEC,M155
EBD 1,0:01:57,SUB,M155
EBD 1,0:04:08,SUB,M155
EBD 1,0:01:37,SUB,M265
EBD 1,0:02:51,SUB,M145
EBD 2,0:15:00,DEC,M145
EBD 2,0:03:58,SUB,M185
EBD 2,0:01:08,SUB,M265
EBD 2,0:15:00,DEC,M134
EBD 2,0:02:07,SUB,M145
EBD 2,0:15:00,DEC,M145
EBD 2,0:01:49,SUB,M145
EBD 2,0:15:00,DEC,F134
EBD 2,0:01:51,KO/TKO,M185
EBD 2,0:05:51,KO/TKO,M185
EBD 2,0:15:00,DEC,M170
EBD 2,0:05:56,SUB,M155
EBD 2,0:15:00,DEC,M155
EBD 2,0:05:42,SUB,M185
EBD 2,0:03:42,KO/TKO,M170
EBD 3,0:03:05,KO/TKO,M205
EBD 3,0:12:15,KO/TKO,M134
EBD 3,0:04:09,KO/TKO,M134
EBD 3,0:15:00,DEC,F115
EBD 3,0:04:12,KO/TKO,M185
EBD 3,0:00:55,KO/TKO,M170
EBD 3,0:04:15,KO/TKO,M155
EBD 3,0:07:13,KO/TKO,M155
EBD 3,0:09:43,KO/TKO,M170
EBD 3,0:15:00,DEC,M155
EBD 3,0:15:00,DEC,M265
EBD 4,0:04:41,KO/TKO,M145
EBD 4,0:15:00,DEC,M155
EBD 4,0:03:22,NC,M155
EBD 4,0:15:00,DEC,F115
EBD 4,0:03:13,KO/TKO,M134
EBD 4,0:00:37,SUB,M145
EBD 4,0:00:19,KO/TKO,M185
EBD 4,0:00:20,SUB,M170
EBD 4,0:04:10,KO/TKO,M185
EBD 4,0:01:55,SUB,M155
EBD 4,0:03:23,KO/TKO,M265
EBD 4,0:15:00,DEC,M145
EBD 4,0:02:53,SUB,M185
EBD 4,0:15:00,DEC,M155
EDB 5,0:11:05,SUB,M155
EDB 5,0:15:00,DEC,M155
EDB 5,0:13:13,SUB,M145
EDB 5,0:15:00,DEC,F134
EDB 5,0:01:23,SUB,M185
EDB 5,0:00:16,KO/TKO,M170
EDB 5,0:15:00,DEC,M170
EDB 5,0:07:31,KO/TKO,M145
EDB 5,0:04:37,KO/TKO,M170
EDB 5,0:01:10,KO/TKO,M265
EDB 5,0:14:20,KO/TKO,M155
EDB 5,0:03:17,SUB,M125
EDB6,0:15:00,DEC,M155
EDB6,0:09:50,KO/TKO,M155
EDB6,0:14:43,SUB,M145
EDB6,0:15:00,DEC,M185
EDB6,0:11:54,KO/TKO,M265
EDB6,0:06:13,SUB,M155
EDB6,0:04:13,SUB,M185
EDB6,0:03:17,KO/TKO,M185
EDB6,0:15:00,DEC,M170
EDB6,0:15:00,DEC,M170
EDB6,0:02:13,SUB,M170
EDB6,0:15:00,DEC,M134
EDB6,0:05:02,KO/TKO,M170
EDB6,0:02:11,KO/TKO,M155